Rented Bike Count,Temperature,Humidity,Visibility,Solar Radiation,Rainfall,Snowfall,Time of Day
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,night
low,cold,low,high,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,high,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,high,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,night
low,cold,low,high,low,no,no,night
low,cold,low,high,low,no,no,night
low,cold,low,high,low,no,no,night
low,cold,low,high,low,no,no,night
low,cold,low,high,low,no,no,night
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,night
low,cold,low,high,low,no,no,night
low,cold,low,high,low,no,no,night
low,cold,low,high,low,no,no,night
low,cold,low,high,low,no,no,night
low,cold,low,high,low,no,no,night
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,high,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,high,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,high,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,high,low,low,no,no,evening
low,cold,high,low,low,no,yes,evening
low,cold,high,low,low,no,yes,evening
low,cold,high,low,low,light,yes,evening
low,cold,low,low,low,no,yes,evening
low,cold,low,low,low,no,yes,evening
low,cold,low,low,low,no,yes,night
low,cold,low,low,low,no,yes,night
low,cold,low,low,low,no,yes,night
low,cold,low,low,low,no,yes,night
low,cold,low,low,low,no,yes,night
low,cold,low,high,low,no,yes,night
low,cold,low,high,low,no,yes,morning
low,cold,low,high,low,no,yes,morning
low,cold,low,low,low,no,yes,morning
low,cold,low,low,low,no,yes,morning
low,cold,low,low,low,no,yes,morning
low,cold,low,high,low,no,yes,morning
low,cold,low,high,low,no,yes,afternoon
low,cold,low,high,low,no,yes,afternoon
low,cold,low,high,low,no,yes,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,high,low,low,no,yes,evening
low,cold,high,low,low,light,yes,night
low,cold,high,high,low,no,yes,night
low,cold,high,high,low,no,yes,night
low,cold,high,high,low,light,yes,night
low,cold,high,high,low,no,yes,night
low,cold,high,high,low,no,yes,night
low,cold,high,high,low,no,yes,morning
low,cold,high,high,low,no,yes,morning
low,cold,low,high,low,no,yes,morning
low,cold,low,high,low,no,yes,morning
low,cold,low,high,low,no,yes,morning
low,cold,low,high,low,no,yes,morning
low,cold,low,high,low,no,yes,afternoon
low,cold,low,high,low,no,yes,afternoon
low,cold,low,high,low,no,yes,afternoon
low,cold,low,high,low,no,yes,afternoon
low,cold,low,high,low,no,yes,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,night
low,cold,low,high,low,no,no,night
low,cold,low,high,low,no,no,night
low,cold,low,high,low,no,no,night
low,cold,low,high,low,no,no,night
low,cold,low,high,low,no,no,night
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,night
low,cold,low,high,low,no,no,night
low,cold,low,high,low,no,no,night
low,cold,low,high,low,no,no,night
low,cold,low,high,low,no,no,night
low,cold,low,high,low,no,no,night
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,night
low,cold,low,high,low,no,no,night
low,cold,low,high,low,no,no,night
low,cold,low,high,low,no,no,night
low,cold,low,high,low,no,no,night
low,cold,low,high,low,no,no,night
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,high,low,low,no,yes,morning
low,cold,high,low,low,light,yes,morning
low,cold,high,low,low,no,yes,morning
low,cold,high,low,low,no,yes,morning
low,cold,low,low,low,light,yes,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,high,low,low,no,no,evening
low,cold,high,low,low,no,no,evening
low,cold,high,low,low,no,no,evening
low,cold,high,low,low,no,no,evening
low,cold,high,low,low,no,no,evening
low,cold,high,low,low,no,no,evening
low,cold,high,low,low,no,no,night
low,cold,high,low,low,no,no,night
low,cold,high,low,low,no,no,night
low,cold,high,low,low,no,no,night
low,cold,high,low,low,no,no,night
low,cold,high,low,low,no,no,night
low,cold,high,low,low,no,no,morning
low,cold,high,low,low,no,no,morning
low,cold,high,low,low,no,no,morning
low,cold,high,low,low,no,no,morning
low,cold,high,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,high,low,low,no,no,night
low,cold,high,low,low,no,no,night
low,cold,high,low,low,no,no,night
low,cold,high,low,low,no,no,morning
low,cold,high,low,low,no,no,morning
low,cold,high,low,low,no,no,morning
low,cold,high,low,low,light,no,morning
low,cold,high,low,low,no,no,morning
low,cold,high,low,low,no,no,morning
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,high,low,low,no,no,night
low,cold,high,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,high,low,low,no,no,morning
low,cold,high,low,low,no,no,morning
low,cold,high,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,high,low,low,no,no,evening
low,cold,high,low,low,no,no,evening
low,cold,high,low,low,no,no,evening
low,cold,high,low,low,no,no,evening
low,cold,high,low,low,no,no,night
low,cold,high,low,low,no,no,night
low,cold,high,low,low,no,no,night
low,cold,high,low,low,no,no,night
low,cold,high,low,low,no,no,night
low,cold,high,low,low,no,no,night
low,cold,high,low,low,no,no,morning
low,cold,high,low,low,no,no,morning
low,cold,high,low,low,no,no,morning
low,cold,high,low,low,no,no,morning
low,cold,high,low,low,no,no,morning
low,cold,high,low,low,no,no,morning
low,cold,high,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,morning
low,cold,low,high,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,evening
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,night
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,morning
low,cold,low,low,low,no,no,afternoon
low,cold,low,low,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,afternoon
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,evening
low,cold,low,high,low,no,no,night
